location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,Danish,,no,language,"Sprognavn på engelsk",https://gramps-project.org/wiki/index.php/Gramps_Glossary/da
,endonym,Dansk,,no,language,"Sprognavn på modersmål",https://gramps-project.org/wiki/index.php/Gramps_Glossary/da
,language code,da,,no,language,"Sprogkode i ISO 639-standarden",https://hosted.weblate.org/projects/gramps-project/-/da/
,translators,Oversættere,,yes,language,"Ledende oversætter for GUI",https://gramps-project.org/wiki/index.php/Portal:Translators#da
,translations,Oversættelser,,yes,language,"Status for wiki-oversættelse",https://gramps-project.org/wiki/index.php/User_manual_translations#da
,documentation,Oversættelser,,yes,language,"Oversat wiki-sideindeks",https://gramps-project.org/wiki/index.php/Category:Da:Documentation
,Active Person,Aktiv person,,yes,terminology,"person udpeget som det øjeblikkelige fokuspunkt",Gramps_Glossary/da#active_person
,Add-on,Tilføjelse,,yes,terminology,"valgfrit tredjepartsudvidelsesplugin installeret via Addon Manager",Gramps_Glossary/da#addon
,Addon,Tilføjelse,,yes,terminology,"valgfrit tredjepartsudvidelsesplugin installeret via Addon Manager",Gramps_Glossary/da#addon
,Address,Adresse,,yes,terminology,"en bestemt placering med en tilhørende tidsramme",Gramps_Glossary/da#address
,administrative division,administrativ inddeling,,yes,terminology,"enhed, der opdeler en geopolitisk region i konventionelle lag",Gramps_Glossary/da#administrative_division
,Aide,Hjælper,,yes,,"et udtryk til at identificere begivenhedsrollen som værende en assistent",Gramps_Glossary/da#aide
,Ancestry,Aner,,False,,,
,anglicization,anglisering,,yes,,"proces med at omdanne et udenlandsk navn til dets engelske variant",Gramps_Glossary/da#anglicisation
,Association,Forening,,yes,terminology,"en rolle, der eksplicit definerer, hvordan en person forholder sig til en anden",Gramps_Glossary/da#association
,Associations,Foreningen,,yes,terminology,"roller, der definerer ikke-biologiske relationer og delte karakteristika mellem personer",Gramps_Glossary/da#association
,Attribute,Attribut,,yes,terminology,"en brugerdefineret registrering af et permanent karakteristika",Gramps_Glossary/da#attribute
,Attributes,Attributter,,yes,terminology,"Tilpassede kategorier for permanente karakteristika ud over det foruddefinerede sæt",Gramps_Glossary/da#attribute
,base relative media path,udgangspunkt for sti til medier,,False,,,
,Books Report,Bøgerrapport,,yes,terminology,"en ordnet samling af Gramps tekst- og grafiske rapporter i et enkelt dokument",Gramps_Glossary/da#books_report
,border,grænse,,False,,,
