location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,Turkish,,no,language,"İngilizce dil adı",https://gramps-project.org/wiki/index.php/Gramps_Glossary/en
,endonym,Türkçe,,no,language,"ana dildeki dil adı",https://gramps-project.org/wiki/index.php/Gramps_Glossary/tr
,language code,tr,,no,language,"ISO 639 standardında dil kodu",https://hosted.weblate.org/projects/gramps-project/-/tr/
,translators,çevirmenler,,yes,language,"GUI için baş çevirmen",https://gramps-project.org/wiki/index.php/Portal:Translators#tr
,translations,çeviriler,,yes,language,"wiki çevirisinin durumu",https://gramps-project.org/wiki/index.php/User_manual_translations#tr
,documentation,dokümantasyon,,yes,language,"çevrilmiş wiki sayfası dizini",https://gramps-project.org/wiki/index.php/Category:Tr:Documentation

,2-Way Fan,Alt-Üst Soy Yelpaze,,False,2,,
,about,hakkında,,False,,,
,absent,yok,,False,,,
,active,etkin,,False,,,
,Active Person,etkin kişi,,yes,terminology,"Valittu henkilö, johon toiminto kohdistetaan",Gramps_Glossary/tr#active_person
,add,ekle,,False,,,
,Add-on,eklenti,,yes,terminology,"optional third-party expansion plugin installed via the Addon Manager",Gramps_Glossary/tr#addon
,Addon,eklenti,,yes,terminology,"optional third-party expansion plugin installed via the Addon Manager",Gramps_Glossary/tr#addon
,Address,adres,,yes,terminology,"a particular location with an associated time frame",Gramps_Glossary/tr#address

,Add_Rule_dialog,Kural_Ekle_penceresi,,False,,,
,administrative division,administrative division,,yes,terminology,"unit subdividing a geopolitical region into conventional layers",Gramps_Glossary/tr#administrative_division
,Advanced,Gelişmiş,,False,,,
,age,yaş,,False,,,
,Aide,Yardım,,yes,,"a term to identify the Event Role as being an assistant",Gramps_Glossary/tr#aide
,alive,hayatta,,False,,,
,all,tüm,,False,,,
,alternate,başka,,False,,,alternative
,ancestor,ata,,False,,,
,Ancestors,Atalar,,False,,,
,Ancestry,Soyağacı,,False,,,
,and,ve,,False,,,
,anglicization,anglicization,,yes,,"process of making a foreign name into its English variant",Gramps_Glossary/tr#anglicisation
,app,uygulama,,False,app,,
,around,etrafında,,False,,,
,ascendants and descendants,alt ve üst soy,,False,,,
,Association,bağlantı,,yes,terminology,"a role explicitly defining how one person relates to another",Gramps_Glossary/tr#association
,Associations,Associations,,yes,terminology,"roles defining non-biological relationships and shared characteristics among persons",Gramps_Glossary/tr#association
,Attribute,nitelik,,yes,terminology,"a custom record of a permanent characteristic",Gramps_Glossary/tr#attribute
,attribute,öznitelik,,False,,,
,Attributes,nitelikler,,yes,terminology,"Customizable categories for permanent characteristics beyond the predefined set",Gramps_Glossary/tr#attribute
,autobiography,otobiyografi,,False,,,
,available,erişilebilir,,False,available,,
,average,ortalama,,False,,,
,back,geri,,False,,,
,background,arka plan,,False,,,
,bar chart,çubuk çizelge,,False,,,
,bar,çubuk,,False,,,Grafik
,base relative media path,temel göreli ortam yolu,,False,,,
,between,arasında,,False,,,
,birthdays,doğum günleri,,False,,,
,birth,doğum,,False,,,
,book,kitap,,False,,,
,Bookmarks,Yer_imleri,,False,,,manual
,books,kitaplar,,False,,,
,Books Report,Kitap Raporu,,yes,terminology,"an ordered collation of Gramps textual and graphical reports in a single document",Gramps_Glossary/tr#books_report
,border,kenarlık,,False,,,
,borough,kasaba,,False,,,
,bottom,alt,,False,,,
,Bride,Gelin,,yes,,"a term to identify the Marriage Role as being a wife",Gramps_Glossary/tr#bride
,broken,bozuk,,False,,,
,BSDDB,BSDDB,,yes,,"the Berkeley Software Distribution database: an alternative database engine",Gramps_Glossary/tr#bsddb
,bug,hata,,False,,,
,bugs,hatalar,,False,,,
,burial,defin,,False,,,
,calendars,takvimler,,False,,,
,calendar,takvim,,False,,,
,Call Name,Seslenme Adı,,False,,,
,call number,sıra numarası,,False,,,
,Categories,Categories,,yes,terminology,"Gramps organizes each Primary Object into a set of distinctly different descriptive schemas",Gramps_Glossary/tr#category
