term, translatable, anchor
"English", ' in English', https://gramps-project.org/wiki/index.php/Gramps_Glossary#
"English", ' natively', https://gramps-project.org/wiki/index.php/User_manual_translations#en
"Languages", '_("Languages")', https://gramps-project.org/wiki/index.php/Portal:Translators#en
"Active Person", '_("Active Person")', active_person
"Addon", '_("Addon")', addon
"anglicization", '_("anglicization")', anglicisation
"Add-on", '_("Add-on")', addon
"Address", '_("Address")', address
"administrative division", '_("administrative division")', administrative_division
"Aide", '_("Aide")', aide
