location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,Esperanto,,no,language,"lingvonomo en la angla",https://gramps-project.org/wiki/index.php/Gramps_Glossary/eo
,endonym,Esperanto,,no,language,"lingvonomo en la gepatra lingvo",https://gramps-project.org/wiki/index.php/Gramps_Glossary/eo
,language code,en,,no,language,"lingvokodo laŭ la normo ISO 639",https://hosted.weblate.org/projects/gramps-project/-/eo/
,translators,tradukistoj,,yes,language,"ĉefa tradukisto por la grafika uzulinterfaco",https://gramps-project.org/wiki/index.php/Portal:Translators#eo
,translations,tradukoj,,yes,language,"stato de la viki-traduko",https://gramps-project.org/wiki/index.php/User_manual_translations#eo
,documentation,dokumentaro,,yes,language,"tradukita viki-paĝa indekso",https://gramps-project.org/wiki/index.php/Category:Eo:Documentation
,Above,Super,,False,,,
,addon,kromprogramo,,False,,,
,Alignment,Ĝisrandigo,,False,,,
,Ancestry,,,False,,,
,Background color,Fonkoloro,,False,,,
,base relative media path,,,False,,,
,Below,Sub,,False,,,
,border,rando,,False,,,
,Borders,Randoj,,False,,,
,Bottom,Malsupra,,False,,,
,bug,cimo,,False,,,
,bugs,cimoj,,False,,,
,burial,,,False,,,
,citation,citaĵo,,False,,,
,debug,sencimigi,,False,,,
,Default,Defaŭlta,,False,,,
,Delimiter,,,False,,,
,Elul,Elul,,False,,,
,Employment,Okupo,,False,,,
,Events,Eventoj,,False,,,
,funeral,,,False,,,
,Gender,Genro,,False,,,
,Gramplet,,,False,,,
,Gramps,,,False,,,
,Gramps Web,,,False,,,
,Indentation,Deŝovo,,False,,,
,Justify,Alkadrigita,,False,,,
,Nisan,Nisan,,False,,,
,overhang,elstaraĵo,,False,,"In un diagramma quanto sporge",
,Padding,Interna spaco,,False,,"Spazio interno tra il testo e il riquadro",
,Person,Persono,,False,,"A ""person"" record within Gramps",
,place,loko,,False,,,
,places,lokoj,,False,,,
,plugin,,,False,,,
,project,,,False,A project object within Gramps,,
,REFN,,,False,,"A GEDCOM tag used to store a user-defined identifier.",
,relation,,,False,,,
,Repository,,,False,,,
,Spacing,Interspaco,,False,,,
,Stamen,Stamen,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Tishri,Tiszri,,False,,,
,Top,Supra,,False,,,
,Try to find,,,False,,,
,Wedding,Nupto,,False,,,

