location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,German,,no,language,"Sprachname auf Englisch",https://gramps-project.org/wiki/index.php/Gramps_Glossary/de
,endonym,Deutsch,,no,language,"Sprachname in der Muttersprache",https://gramps-project.org/wiki/index.php/Gramps_Glossary/de
,language code,de,,no,language,"Sprachcode nach ISO 639",https://hosted.weblate.org/projects/gramps-project/-/de/
,translators,Übersetzer,,yes,language,"Leitender Übersetzer für die Benutzeroberfläche",https://gramps-project.org/wiki/index.php/Portal:Translators#de
,translations,Übersetzungen,,yes,language,"Status der Wiki-Übersetzung",https://gramps-project.org/wiki/index.php/User_manual_translations#de
,documentation,Dokumentation,,yes,language,"Übersetzte Wiki-Seitenübersicht",https://gramps-project.org/wiki/index.php/Category:De:Documentation
,Active Person,Aktive Person,,yes,terminology,"Person, die als momentaner Mittelpunkt des Fokus bestimmt ist",Gramps_Glossary/de#active_person
,Add-on,Erweiterung,,yes,terminology,"optionales Erweiterungs-Plugin eines Drittanbieters, das über den Addon-Manager installiert wird",Gramps_Glossary/de#addon
,Addon,Erweiterung,,yes,terminology,"optionales Erweiterungs-Plugin eines Drittanbieters, das über den Addon-Manager installiert wird",Gramps_Glossary/de#addon
,Address,Adresse,,yes,terminology,"ein bestimmter Ort mit einem zugehörigen Zeitrahmen",Gramps_Glossary/de#address
,administrative division,Verwaltungseinheit,,yes,terminology,"Einheit, die eine geopolitische Region in konventionelle Ebenen unterteilt",Gramps_Glossary/de#administrative_division
,Aide,Helfer,,yes,,"ein Begriff, der die Event-Rolle als Assistent bezeichnet",Gramps_Glossary/de#aide
,Ancestry,Abstammung,,False,,,
,anglicization,Anglisierung,,yes,,"Prozess der Umwandlung eines ausländischen Namens in seine englische Variante",Gramps_Glossary/de#anglicisation
,Association,Verknüpfungen,,yes,terminology,"eine Rolle, die explizit definiert, wie eine Person mit einer anderen umgeht",Gramps_Glossary/de#association
