location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,Danish,,no,language,Sprognavn på engelsk,https://gramps-project.org/wiki/index.php/Da:Gramps_Ordliste
,endonym,Dansk rev1,,no,language,Sprognavn på modersmål,https://gramps-project.org/wiki/index.php/Da:Gramps_Ordliste
,language code,da,,no,language,Sprogkode i ISO 639-standarden,https://hosted.weblate.org/projects/gramps-project/-/da/
,translators,Oversættere,,yes,language,Ledende oversætter for GUI,https://gramps-project.org/wiki/index.php/Portal:Translators#da
,translations,Oversættelser,,yes,language,Status for wiki-oversættelse,https://gramps-project.org/wiki/index.php/User_manual_translations#da
,documentation,Oversættelser,,yes,language,Oversat wiki-sideindeks,https://gramps-project.org/wiki/index.php/Category:Da:Documentation
,Active Person,Aktiv person,,yes,terminology,person udpeget som det øjeblikkelige fokuspunkt,Da:Gramps_Ordliste#active_person
,Add-on,Tilføjelse,,yes,terminology,valgfrit tredjepartsudvidelsesplugin installeret via Addon Manager,Da:Gramps_Ordliste#addon
,Addon,Tilføjelse,,yes,terminology,valgfrit tredjepartsudvidelsesplugin installeret via Addon Manager,Da:Gramps_Ordliste#addon
,Address,Adresse,,yes,terminology,en bestemt placering med en tilhørende tidsramme,Da:Gramps_Ordliste#address
,administrative division,administrativ inddeling,,yes,terminology,"enhed, der opdeler en geopolitisk region i konventionelle lag",Da:Gramps_Ordliste#administrative_division
,Aide,Hjælper,,yes,,et udtryk til at identificere begivenhedsrollen som værende en assistent,Da:Gramps_Ordliste#aide
,Ancestry,Slægtsforskning,,False,,,
,anglicization,anglificering,,yes,,proces med at omdanne et udenlandsk navn til dets engelske variant,Da:Gramps_Ordliste#anglicisation
,Association,Forbindelse,,yes,terminology,"en rolle, der eksplicit definerer, hvordan en person forholder sig til en anden",Da:Gramps_Ordliste#association
,Associations,Forbindelser,,yes,terminology,"roller, der definerer ikke-biologiske relationer og delte karakteristika mellem personer",Da:Gramps_Ordliste#association
,Attribute,Attribut,,yes,terminology,en brugerdefineret registrering af et permanent karakteristika,Da:Gramps_Ordliste#attribute
,Attributes,Attributter,,yes,terminology,Tilpassede kategorier for permanente karakteristika ud over det foruddefinerede sæt,Da:Gramps_Ordliste#attribute
,base relative media path,udgangspunkt for sti til medier,,False,,,
,Books Report,Bograpporter,,yes,terminology,en ordnet samling af Gramps tekst- og grafiske rapporter i et enkelt dokument,Da:Gramps_Ordliste#books_report
,border,grænse,,False,,,
,Bride,Brud,,yes,,"The first instance of the string 'Bride' in the 2nd column",Da:Gramps_Ordliste#bride
2,Bride,duplicate,2,no,2,"replicated in 2nd column (other columns are unique but that is irrelevant) and should be marked in the duplicate color",Gramps_Glossary/da#bride
,bride,notDuplicate,,yes,,"The value in the 2nd column is different, having at least 1 letter in a different (in this example: lower) case",Da:Gramps_Ordliste#bride
2,Bride,triplicate,3,,3,"replicated AGAIN in 2nd column (other columns are also unique but that is still irrelevant) and should be marked in the duplicate color",Gramps_Glossary/en#bride
,BSDDB,BSDDB,,yes,,Berkeley Software Distribution-databasen: en alternativ databasemotor,Da:Gramps_Ordliste#bsddb
,bug,fejl,,False,,,
,bugs,fejl,,False,,,
,burial,begravelse,,False,,,
,Categories,Kategorier,,yes,terminology,Gramps organiserer hvert primært objekt i et sæt af tydeligt forskellige beskrivende skemaer,Da:Gramps_Ordliste#category
,Category,Kategori,,yes,terminology,et beskrivende skema for et primært databaseobjekt,Da:Gramps_Ordliste#category
,Celebrant,Ceremonileder,,yes,,"et udtryk til at identificere en rolle som den person, der udfører en ritual",Da:Gramps_Ordliste#celebrant
,Citation,Citat,,yes,terminology,"information, der gør det muligt at finde specifikt indhold i kildemateriale",Da:Gramps_Ordliste#citation
,Citations,Citater,,yes,terminology,"et sæt referencer, der krediterer og lokaliserer kilder, der understøtter forskningsoptegnelser",Da:Gramps_Ordliste#citation
,Clergy,Præster,,yes,terminology,et udtryk til at identificere en religiøs begivenheds rolle som officiant,Da:Gramps_Ordliste#clergy
,Clipboard,Udklipsholder,,yes,terminology,"genvejssystem til deling af sekundære objekter, navigation og til oprettelse af brugerdefinerede filtre",Da:Gramps_Ordliste#clipboard
,Color Swatch,Farveprøve,,yes,terminology,,Da:Gramps_Ordliste#color_swatch
,Configure,Konfigurer,,yes,terminology,"brugerkonfigurerbare indstillinger, der tilpasser den lokale visningstilstands funktionsmåde",Da:Gramps_Ordliste#configure
,Context menu,Kontekstmenu,,yes,terminology,"GUI-term: pop op-menu med indstillinger, der er relevante for det højreklikkede element",Da:Gramps_Ordliste#context_menu
,CSV,CSV,,yes,,et akronym for Comma Separated Value-dataudvekslingsformatet i almindelig tekst med afgrænsere,Da:Gramps_Ordliste#json
,Custom Filter,Brugerdefineret filter,,yes,terminology,"et regelsystem til kun at vise de poster, der opfylder bestemte kriterier",Da:Gramps_Ordliste#filter
,custom Types,Brugerdefinerede typer,,yes,terminology,"brugerdefineret klassificering; i modsætning til klassificeringer, der var foruddefinerede",Da:Gramps_Ordliste#custom
,Data,Data,,False,,,
,Date,Dato,,yes,terminology,"tidsperiode med specifikke kvalitets-, præcisions- og kalenderslutpunkter",Da:Gramps_Ordliste#date
